player_id,season,market_value_in_eur,date
1001,2024-2025,55000000,2025-01-15
1002,2024-2025,28000000,2025-01-15
1003,2024-2025,70000000,2025-01-15
1004,2024-2025,45000000,2025-01-15
1005,2024-2025,22000000,2025-01-15
1006,2024-2025,20000000,2025-01-15
1007,2024-2025,26000000,2025-01-15
1008,2024-2025,24000000,2025-01-15
1009,2024-2025,18000000,2025-01-15
1010,2024-2025,35000000,2025-01-15
1011,2024-2025,12000000,2025-01-15
1012,2024-2025,30000000,2025-01-15
1013,2024-2025,19000000,2025-01-15
1014,2024-2025,14000000,2025-01-15
1015,2024-2025,33000000,2025-01-15
1016,2024-2025,48000000,2025-01-15
1017,2024-2025,21000000,2025-01-15
1018,2024-2025,26000000,2025-01-15
1019,2024-2025,40000000,2025-01-15
1020,2024-2025,15000000,2025-01-15
1021,2024-2025,8000000,2025-01-15
1022,2024-2025,9000000,2025-01-15
1024,2024-2025,16000000,2025-01-15
